PrdLevel,Date,Value,Cut,Short,Geography,Flag
I T C_BINGO TEDHE MEDHE,01-09-2017,2359.2738,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,2467.1014,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,2526.1702,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,2532.5429,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,2687.3224,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,2525.5522,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,2724.636,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,2750.3818,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,2902.737,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,2914.5412,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,2908.711,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,2878.7336,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,2789.24,All India,All India,All India,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,2862.711979,All India,All India,All India,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,2864.496975,All India,All India,All India,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,2899.189116,All India,All India,All India,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,805.3462,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,826.3955,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,864.1881,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,838.3823,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,884.9045,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,842.9219,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,907.096,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,900.2451,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,943.1393,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,941.0957,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,920.1974,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,908.5845,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,877.0836,Zone,East,East,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,908.5871613,Zone,East,East,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,907.6929351,Zone,East,East,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,921.3370741,Zone,East,East,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,1394.8829,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,1464.1566,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,1455.1823,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,1463.267,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,1541.3861,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,1422.7878,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,1540.2333,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,1578.4538,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,1671.4846,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,1678.6095,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,1682.0609,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,1655.729,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,1607.6231,Zone,North,North,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,1647.226923,Zone,North,North,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,1646.786082,Zone,North,North,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,1664.493222,Zone,North,North,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,83.1481,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,91.5821,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,124.8864,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,144.0581,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,173.482,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,163.8639,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,171.6954,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,167.7315,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,172.1408,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,174.5878,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,178.972,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,181.848,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,176.2527,Zone,South,South,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,178.4962733,Zone,South,South,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,181.1902359,Zone,South,South,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,184.1049975,Zone,South,South,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,75.8966,Zone,West,West,Training
